titulo,url,versos
Tarot,https://www.letras.com/las-pastillas-del-abuelo/tarot/,49
La Doctora II,https://www.letras.com/las-pastillas-del-abuelo/la-doctora-ii/,66
Viejo Karma!,https://www.letras.com/las-pastillas-del-abuelo/viejo-karma/,57
¿Qué Es Dios?,https://www.letras.com/las-pastillas-del-abuelo/1395730/,59
Hasta Acá Nos Ayudó Dios!,https://www.letras.com/las-pastillas-del-abuelo/hasta-aca-nos-ayudo-dios/,48
Donde Esconder Tantas Manos?,https://www.letras.com/las-pastillas-del-abuelo/1322223/,56
Otra Vuelta de Tuerca,https://www.letras.com/las-pastillas-del-abuelo/563527/,80
Princesa,https://www.letras.com/las-pastillas-del-abuelo/919454/,34
Ojos de Dragón!,https://www.letras.com/las-pastillas-del-abuelo/ojos-de-dragon/,50
El Sensei,https://www.letras.com/las-pastillas-del-abuelo/563510/,112
Rompecabezas de Amor,https://www.letras.com/las-pastillas-del-abuelo/rompecabezas-de-amor/,26
Viejo,https://www.letras.com/las-pastillas-del-abuelo/911181/,48
Lo + Fino,https://www.letras.com/las-pastillas-del-abuelo/911174/,87
Que Hago Yo Esperando Un Puto As?,https://www.letras.com/las-pastillas-del-abuelo/1514972/,53
Saber Cuando Parar (Candombe I),https://www.letras.com/las-pastillas-del-abuelo/563522/,41
Skalipso,https://www.letras.com/las-pastillas-del-abuelo/903806/,45
La Creatividad,https://www.letras.com/las-pastillas-del-abuelo/la-creatividad/,43
Clasica Y Moderna (acústico),https://www.letras.com/las-pastillas-del-abuelo/563508/,50
Crisis,https://www.letras.com/las-pastillas-del-abuelo/1719286/,52
Me Juego El Corazón?,https://www.letras.com/las-pastillas-del-abuelo/1322222/,45
A Medias,https://www.letras.com/las-pastillas-del-abuelo/1976708/,32
A Mi Lado,https://www.letras.com/las-pastillas-del-abuelo/1089139/,30
A Veces,https://www.letras.com/las-pastillas-del-abuelo/1089140/,33
Absolutismos,https://www.letras.com/las-pastillas-del-abuelo/absolutismos/,22
Algo De Vos,https://www.letras.com/las-pastillas-del-abuelo/563505/,48
Almagro-Haedo,https://www.letras.com/las-pastillas-del-abuelo/1273108/,35
Ama a Quien Llora Por Ti,https://www.letras.com/las-pastillas-del-abuelo/563506/,28
Amar y Envejecer,https://www.letras.com/las-pastillas-del-abuelo/911170/,40
Ansiedad,https://www.letras.com/las-pastillas-del-abuelo/ansiedad/,22
Aprenderé a Conciencia Esta Lección?,https://www.letras.com/las-pastillas-del-abuelo/1419874/,27
Artesano,https://www.letras.com/las-pastillas-del-abuelo/artesano/,29
Azúcar Impalpable,https://www.letras.com/las-pastillas-del-abuelo/azucar-impalpable/,48
Bonabota,https://www.letras.com/las-pastillas-del-abuelo/903805/,32
Cambios de Tiempo,https://www.letras.com/las-pastillas-del-abuelo/1976709/,23
Candombe de Resacas,https://www.letras.com/las-pastillas-del-abuelo/964957/,37
Candombe Loco,https://www.letras.com/las-pastillas-del-abuelo/563507/,49
Casualidad o Causalidad?,https://www.letras.com/las-pastillas-del-abuelo/1379989/,18
Celoso Corazón,https://www.letras.com/las-pastillas-del-abuelo/1419890/,40
Como Pudo Entrar En Mi?,https://www.letras.com/las-pastillas-del-abuelo/1379984/,33
Conmigo Mismo,https://www.letras.com/las-pastillas-del-abuelo/conmigo-mismo/,24
Contra Viento Y Marea,https://www.letras.com/las-pastillas-del-abuelo/1197441/,38
Contradiccion,https://www.letras.com/las-pastillas-del-abuelo/937832/,34
Crónicas Del Domingo,https://www.letras.com/las-pastillas-del-abuelo/cronicas-del-domingo/,20
Cuantas Veces?,https://www.letras.com/las-pastillas-del-abuelo/1976712/,37
Cuarto Dan Final,https://www.letras.com/las-pastillas-del-abuelo/1976713/,19
Cubano,https://www.letras.com/las-pastillas-del-abuelo/911171/,36
De Donde Vengo?,https://www.letras.com/las-pastillas-del-abuelo/1419891/,18
Desde La Postura,https://www.letras.com/las-pastillas-del-abuelo/1419892/,47
Despues,https://www.letras.com/las-pastillas-del-abuelo/964958/,22
Diosa de La Transformación!,https://www.letras.com/las-pastillas-del-abuelo/diosa-de-la-transformacion/,70
Disculpe Señor,https://www.letras.com/las-pastillas-del-abuelo/disculpe-senor/,48
Dos Ángeles,https://www.letras.com/las-pastillas-del-abuelo/dos-angeles/,22
Duda,https://www.letras.com/las-pastillas-del-abuelo/964959/,67
Dulce (part. Abel Pintos),https://www.letras.com/las-pastillas-del-abuelo/dulce-part-abel-pintos/,30
El Barrio,https://www.letras.com/las-pastillas-del-abuelo/el-barrio/,28
El Country de La Soledad,https://www.letras.com/las-pastillas-del-abuelo/1005710/,34
El Cowboy,https://www.letras.com/las-pastillas-del-abuelo/563509/,46
El Encanto Del Flagelo,https://www.letras.com/las-pastillas-del-abuelo/el-encanto-del-flagelo/,30
El Favor,https://www.letras.com/las-pastillas-del-abuelo/el-favor/,48
El Fitito Colorado,https://www.letras.com/las-pastillas-del-abuelo/el-fitito-colorado/,27
El Fondo de Tu Vida,https://www.letras.com/las-pastillas-del-abuelo/el-fondo-de-tu-vida/,35
El Héroe,https://www.letras.com/las-pastillas-del-abuelo/el-heroe/,14
El Hombre Mosca,https://www.letras.com/las-pastillas-del-abuelo/el-hombre-mosca/,44
El Negro,https://www.letras.com/las-pastillas-del-abuelo/negro/,35
